REDCODE;ESCOLARIDAD_0;ESCOLARIDAD_1;ESCOLARIDAD_2;ESCOLARIDAD_3;ESCOLARIDAD_4;ESCOLARIDAD_5;ESCOLARIDAD_6;ESCOLARIDAD_7;ESCOLARIDAD_8;ESCOLARIDAD_9;ESCOLARIDAD_10;ESCOLARIDAD_11;ESCOLARIDAD_12;ESCOLARIDAD_13;ESCOLARIDAD_14;ESCOLARIDAD_15;ESCOLARIDAD_16;ESCOLARIDAD_17;ESCOLARIDAD_18;ESCOLARIDAD_19;ESCOLARIDAD_20;ESCOLARIDAD_21;Total
13201171009;4;4;6;7;17;6;22;8;32;13;36;30;439;34;149;147;236;383;3;31;3;7;1617
13201181001;123;28;44;86;107;87;164;157;621;192;302;163;1174;32;71;57;40;39;0;0;0;0;3487
13201181002;63;7;20;27;55;40;62;58;198;82;150;75;795;19;53;54;33;31;0;2;0;0;1824
13201181003;86;24;44;75;96;73;134;115;508;156;224;135;739;15;41;44;15;26;0;3;0;0;2553
13201181004;30;2;18;29;37;30;60;43;124;48;76;37;331;9;12;23;17;13;0;0;0;0;939
13201181005;46;13;29;67;78;84;124;101;423;128;209;117;801;27;49;43;29;24;0;0;0;0;2392
13201181006;1;0;0;2;1;1;0;1;0;1;2;1;4;0;0;0;0;0;0;0;0;0;14
13201181007;65;24;45;49;95;95;146;116;409;158;246;137;728;12;29;28;17;22;1;1;0;0;2423
13201181008;13;5;11;22;28;40;70;51;174;62;108;59;547;10;27;21;9;22;0;0;0;0;1279
13201181009;69;23;57;84;127;97;173;121;453;162;215;126;806;19;57;33;26;40;0;1;0;0;2689
13201191001;29;4;10;27;31;18;111;35;120;61;203;70;1203;61;286;247;273;519;5;49;8;4;3374
13201191002;27;7;14;26;40;17;71;36;142;63;161;86;806;41;148;100;136;180;2;9;0;3;2115
13201191003;60;7;8;25;32;24;55;50;190;89;142;88;920;47;93;99;46;93;0;4;0;0;2072
13201191004;16;4;11;20;23;16;44;29;136;68;136;68;1063;44;148;135;77;136;1;11;1;0;2187
13201191005;8;1;8;22;21;11;57;34;108;60;128;85;862;46;149;121;108;143;1;8;1;0;1982
13201191006;29;6;20;27;49;29;100;57;238;84;184;112;1232;67;224;187;151;323;9;19;3;1;3151
13201191007;31;9;26;34;35;38;102;64;246;112;219;116;1165;51;111;120;82;105;2;5;0;3;2676
13201191008;36;10;21;33;69;49;117;70;290;100;246;152;1379;40;136;126;88;121;4;6;0;0;3093
13201191009;61;3;15;31;40;36;96;46;228;87;191;121;1110;60;152;169;121;171;2;15;1;0;2756
13201191010;30;5;17;24;41;19;88;34;187;86;182;101;1222;49;168;174;109;175;1;7;1;0;2720
13201191011;34;8;12;23;34;27;63;42;199;71;166;95;1034;44;111;106;65;72;0;2;0;1;2209
13201191012;16;4;4;8;13;10;37;13;80;37;88;58;962;82;224;272;264;357;3;38;7;1;2578
13201991999;21;7;10;21;21;14;53;19;80;26;53;27;272;10;31;42;30;72;1;6;1;0;817
13202011001;9;0;3;5;5;5;32;11;28;12;44;16;181;14;34;52;40;96;0;9;2;1;599
13202012001;17;3;3;15;13;12;31;14;46;16;51;16;225;16;79;66;85;261;2;54;5;9;1039
13202012002;11;4;7;6;9;12;19;14;59;16;57;24;290;12;48;50;54;124;5;32;3;9;865
13202012005;24;10;14;24;35;17;51;27;89;39;52;20;298;13;46;35;27;68;0;6;1;4;900
13202012009;6;2;2;13;14;13;35;10;52;21;37;11;180;6;18;23;42;83;1;10;1;4;584
13202021001;20;9;19;24;47;37;57;25;120;41;86;48;327;14;44;50;58;72;1;5;0;4;1108
13202022004;3;0;4;1;2;3;6;4;23;3;12;3;26;3;16;16;8;64;0;13;1;4;215
13202022006;0;0;0;0;3;0;4;1;11;5;12;3;28;1;10;16;30;26;0;8;1;4;163
13202022007;0;0;1;0;1;1;4;3;10;2;8;2;18;2;5;3;3;32;0;7;0;1;103
13202022010;3;1;2;2;7;4;2;0;8;3;15;7;44;4;11;4;37;34;1;11;1;2;203
13202022011;1;0;1;1;0;0;0;1;1;0;1;0;14;1;1;1;0;15;0;0;0;0;38
13202022012;10;4;4;6;4;3;12;5;20;11;17;6;109;6;36;34;31;120;1;25;2;6;472
13202022014;11;5;8;11;24;15;46;15;83;15;56;25;235;12;39;38;63;183;2;30;3;6;925
13202031001;90;40;68;92;168;116;195;119;461;143;213;117;1246;38;140;159;121;188;2;10;4;2;3732
13202031002;30;9;23;43;45;31;75;37;162;65;103;39;491;16;58;63;51;71;4;4;1;1;1422
13202032003;13;1;5;7;10;11;32;13;62;25;42;23;314;15;87;73;56;305;7;46;2;6;1155
13202032008;21;5;13;22;49;23;50;23;93;32;83;47;412;22;82;82;87;231;2;30;2;4;1415
13202032013;17;8;8;16;52;16;36;22;86;22;48;17;290;5;65;64;71;180;1;27;7;9;1067
13202991999;0;1;2;1;4;4;3;4;10;1;8;5;35;1;4;7;2;8;0;2;0;0;102
13203011001;47;24;40;48;67;57;124;61;207;70;152;106;931;30;131;118;52;129;1;9;0;2;2406
13203011002;50;16;32;34;49;19;58;19;133;32;76;57;514;15;98;92;51;88;1;6;1;0;1441
13203012004;4;0;0;0;1;0;0;1;5;1;11;3;17;2;3;6;14;33;0;6;0;0;107
13203012005;8;0;2;12;9;14;18;10;33;12;15;11;103;8;18;24;21;46;0;10;3;2;379
13203012012;0;0;0;0;0;0;1;0;2;1;0;0;20;0;2;2;4;2;0;0;0;0;34
13203012019;54;4;6;8;7;8;14;6;25;6;17;11;111;2;12;24;15;25;1;1;0;3;360
13203012901;0;0;0;0;0;0;0;0;1;2;1;0;3;0;0;1;0;1;0;0;0;0;9
13203022002;6;2;9;3;4;5;15;7;30;9;16;20;95;2;6;8;2;4;0;0;0;0;243
13203022004;1;1;0;0;1;0;2;1;1;0;0;0;1;0;2;0;0;3;0;0;0;0;13
13203022015;5;1;3;9;3;4;25;6;55;18;42;11;327;15;21;37;21;58;1;6;1;0;669
13203031001;32;15;14;11;30;18;53;25;106;37;69;41;361;10;67;54;52;152;1;17;1;5;1171
13203032017;0;0;0;0;0;1;1;0;2;0;1;1;5;1;3;2;1;6;0;1;0;0;25
13203032018;7;5;10;17;19;24;36;12;73;28;45;30;315;4;34;46;37;44;0;8;0;1;795
13203042001;1;0;0;1;2;0;0;1;4;3;2;1;7;0;5;2;2;2;0;0;0;1;34
13203042008;1;0;1;0;1;1;3;1;4;1;7;2;10;1;1;4;3;0;0;0;0;0;41
13203042010;4;3;3;4;8;3;5;2;23;8;26;22;127;3;8;16;10;26;0;0;0;0;301
13203042013;0;0;0;0;2;2;2;1;2;0;7;1;5;0;2;0;2;0;0;1;0;0;27
13203042014;1;0;1;0;0;0;2;0;2;2;1;0;4;0;0;0;0;0;0;0;0;0;13
13203042901;0;0;1;0;0;1;0;0;1;0;5;0;7;0;0;3;1;9;0;0;0;1;29
13203052006;5;1;4;3;3;1;9;7;12;1;4;4;39;4;13;12;12;38;1;3;0;2;178
13203052009;8;3;3;4;4;7;10;1;15;5;9;2;37;1;5;13;3;9;0;1;0;0;140
13203052017;0;0;0;0;0;0;0;0;1;0;2;0;12;0;2;2;0;3;0;1;0;0;23
13203061001;19;5;16;30;30;12;39;25;97;43;61;34;406;29;77;100;128;365;2;58;5;14;1595
